Count,"Tradelist Count",Name,Edition,"Card Number",Condition,Foil,Signed,"Artist Proof","Altered Art",Misprint,Promo,Textless,"My Price"
3,,"Bosk Banneret",Morningtide,114,,,,,,,,,0.25
4,,"Leaf-Crowned Elder",Morningtide,128,,,,,,,,,3.30
2,,"Moonglove Changeling",Morningtide,67,,,,,,,,,0.26
3,,"Murmuring Bosk",Morningtide,147,,,,,,,,,1.89
4,,"Prickly Boggart",Morningtide,74,,,,,,,,,0.25
1,,"Advice from the Fae",Shadowmoor,28,,,,,,,,,0.27
1,,"Apothecary Initiate",Shadowmoor,1,,,,,,,,,0.23
1,,"Armored Ascension",Shadowmoor,2,,,,,,,,,0.29
1,,"Ashenmoor Cohort",Shadowmoor,56,,,,,,,,,0.21
3,,"Ashenmoor Gouger",Shadowmoor,180,,,,,,,,,0.25
1,,"Ashenmoor Liege",Shadowmoor,181,,,,,,,,,5.00
1,,"Ballynock Cohort",Shadowmoor,3,,,,,,,,,0.20
1,,"Barkshell Blessing",Shadowmoor,224,,,,,,,,,0.21
1,,"Biting Tether",Shadowmoor,29,,,,,,,,,0.25
1,,"Blistering Dieflyn",Shadowmoor,82,,,,,,,,,0.20
2,,"Bloodmark Mentor",Shadowmoor,83,,,,,,,,,1.93
1,,"Blowfly Infestation",Shadowmoor,58,,,,,,,,,3.46
1,,"Burn Trail",Shadowmoor,86,,,,,,,,,0.20
1,,"Cemetery Puca",Shadowmoor,158,,,,,,,,,2.99
1,,Cinderbones,Shadowmoor,59,,,,,,,,,0.22
2,,"Cinderhaze Wretch",Shadowmoor,60,,,,,,,,,0.25
1,,"Corrosive Mentor",Shadowmoor,61,,,,,,,,,2.61
1,,"Crimson Wisps",Shadowmoor,88,,,,,,,,,3.18
1,,"Crowd of Cinders",Shadowmoor,63,,,,,,,,,0.25
1,,"Din of the Fireherd",Shadowmoor,184,,,,,,,,,0.60
2,,"Emberstrike Duo",Shadowmoor,185,,,,,,,,,0.21
1,,"Faerie Macabre",Shadowmoor,66,,,,,,,,,0.89
2,,"Fists of the Demigod",Shadowmoor,187,,,,,,,,,0.33
1,,"Flourishing Defenses",Shadowmoor,114,,,,,,,,,1.05
1,,"Fossil Find",Shadowmoor,206,,,,,,,,,0.25
1,,Gloomwidow,Shadowmoor,117,,,,,,,,,0.25
1,,"Grief Tyrant",Shadowmoor,189,,,,,,,,,0.25
1,,"Helm of the Ghastlord",Shadowmoor,166,,,,,,,,,0.31
1,,"Howl of the Night Pack",Shadowmoor,119,,,,,,,,,0.29
2,,"Jaws of Stone",Shadowmoor,97,,,,,,,,,0.25
3,,"Kulrath Knight",Shadowmoor,190,,,,,,,,,1.60
1,,"Leech Bonder",Shadowmoor,43,,,,,,,,,0.39
1,,"Lurebound Scarecrow",Shadowmoor,256,,,,,,,,,0.50
1,,"Midnight Banshee",Shadowmoor,72,,foil,,,,,,,8.24
1,,"Mountain (295)",Shadowmoor,295,,,,,,,,,0.25
1,,"Mountain (297)",Shadowmoor,297,,,,,,,,,0.34
2,,"Murderous Redcap",Shadowmoor,192,,,,,,,,,0.63
1,,"Pale Wayfarer",Shadowmoor,17,,,,,,,,,0.25
2,,"Puncture Bolt",Shadowmoor,102,,,,,,,,,0.20
1,,"Pyre Charger",Shadowmoor,103,,,,,,,,,0.25
1,,"Raking Canopy",Shadowmoor,127,,,,,,,,,0.95
2,,"Rattleblaze Scarecrow",Shadowmoor,259,,,,,,,,,0.26
1,,Reknit,Shadowmoor,236,,,,,,,,,0.25
1,,"River's Grasp",Shadowmoor,174,,,,,,,,,0.25
3,,Scar,Shadowmoor,194,,,,,,,,,0.25
4,,"Sickle Ripper",Shadowmoor,77,,,,,,,,,0.21
4,,"Sickle Ripper",Shadowmoor,77,,foil,,,,,,,0.24
1,,"Slinking Giant",Shadowmoor,106,,,,,,,,,0.25
1,,"Smash to Smithereens",Shadowmoor,107,,,,,,,,,0.36
5,,"Smolder Initiate",Shadowmoor,78,,,,,,,,,0.21
1,,"Sootstoke Kindler",Shadowmoor,195,,,,,,,,,0.23
1,,Sootwalkers,Shadowmoor,196,,,,,,,,,0.20
1,,"Spell Syphon",Shadowmoor,52,,,,,,,,,0.25
1,,"Swamp (291)",Shadowmoor,291,,,,,,,,,0.77
1,,"Swamp (293)",Shadowmoor,293,,,,,,,,,0.26
1,,"Swamp (290)",Shadowmoor,290,,,,,,,,,0.48
1,,"Thornwatch Scarecrow",Shadowmoor,265,,,,,,,,,0.25
1,,"Toil to Renown",Shadowmoor,130,,,,,,,,,0.19
2,,"Torrent of Souls",Shadowmoor,199,,,,,,,,,0.25
1,,Torture,Shadowmoor,80,,,,,,,,,0.21
2,,"Wild Swing",Shadowmoor,108,,,,,,,,,0.25
1,,"Lingering Tormentor",Eventide,36,,,,,,,,,0.34
1,,"Merrow Levitator",Eventide,26,,,,,,,,,0.24
2,,"Nettle Sentinel",Eventide,71,,,,,,,,,0.50
1,,Unmake,Eventide,96,,,,,,,,,0.93
4,,"Wickerbough Elder",Eventide,80,,,,,,,,,0.27
4,,"Archdemon of Unx","Shards of Alara",64,,,,,,,,,0.39
1,,"Call to Heel","Shards of Alara",32,,foil,,,,,,,0.16
1,,"Elvish Visionary","Shards of Alara",130,,,,,,,,,0.25
1,,"Glaze Fiend","Shards of Alara",77,,,,,,,,,0.23
1,,"Grixis Battlemage","Shards of Alara",78,,,,,,,,,0.25
1,,"Kederekt Leviathan","Shards of Alara",48,,,,,,,,,4.07
2,,"Oblivion Ring","Shards of Alara",20,,,,,,,,,0.35
1,,Banefire,Conflux,58,,,,,,,,,1.07
1,,Countersquall,Conflux,103,,,,,,,,,0.99
1,,"Drag Down",Conflux,42,,,,,,,,,0.20
1,,"Noble Hierarch",Conflux,87,,,,,,,,,23.84
1,,"Rakka Mar",Conflux,71,,,,,,,,,1.20
1,,"Scornful Aether-Lich",Conflux,34,,,,,,,,,0.25
1,,"Spore Burst",Conflux,93,,,,,,,,,0.25
1,,"Behemoth Sledge","Alara Reborn",65,,,,,,,,,0.35
1,,"Lich Lord of Unx","Alara Reborn",24,,,,,,,,,14.31
2,,"Qasali Pridemage","Alara Reborn",75,,,,,,,,,0.95
1,,"Slave of Bolas","Alara Reborn",136,,,,,,,,,0.48
1,,"Vedalken Heretic","Alara Reborn",104,,,,,,,,,0.40
1,,Cancel,"Magic 2010",44,,,,,,,,,0.19
3,,"Cemetery Reaper","Magic 2010",87,,,,,,,,,4.99
2,,"Child of Night","Magic 2010",88,,,,,,,,,0.19
1,,"Doom Blade","Magic 2010",93,,,,,,,,,0.25
1,,"Dragonskull Summit","Magic 2010",223,,,,,,,,,4.18
3,,"Elvish Visionary","Magic 2010",178,,,,,,,,,0.24
1,,"Essence Scatter","Magic 2010",51,,,,,,,,,0.20
1,,Gravedigger,"Magic 2010",97,,,,,,,,,0.20
1,,"Looming Shade","Magic 2010",103,,,,,,,,,0.19
1,,Naturalize,"Magic 2010",195,,,,,,,,,0.20
1,,"Nature's Spiral","Magic 2010",196,,,,,,,,,0.25
1,,Negate,"Magic 2010",65,,,,,,,,,0.25
1,,"Phantom Warrior","Magic 2010",66,,,,,,,,,0.23
1,,Telepathy,"Magic 2010",74,,,,,,,,,0.49
4,,"Warpath Ghoul","Magic 2010",120,,,,,,,,,0.20
1,,"Zombie Goliath","Magic 2010",123,,,,,,,,,0.20
1,,"Aether Figment",Zendikar,40,,,,,,,,,0.26
2,,"Akoum Refuge",Zendikar,210,,,,,,,,,0.30
1,,"Armament Master",Zendikar,1,,,,,,,,,0.39
2,,"Arrow Volley Trap",Zendikar,2,,,,,,,,,0.24
1,,"Bala Ged Thief",Zendikar,79,,,,,,,,,0.48
1,,"Baloth Cage Trap",Zendikar,156,,,,,,,,,0.25
1,,"Bladetusk Boar",Zendikar,118,,,,,,,,,0.20
2,,"Blood Tribute",Zendikar,81,,,,,,,,,1.59
1,,Bloodghast,Zendikar,83,,,,,,,,,15.63
1,,Bloodghast,Zendikar,83,,foil,,,,,,,32.67
2,,"Bog Tatters",Zendikar,84,,,,,,,,,0.19
2,,"Bold Defense",Zendikar,3,,,,,,,,,0.20
1,,"Caller of Gales",Zendikar,43,,,,,,,,,0.20
2,,Cancel,Zendikar,44,,,,,,,,,0.20
1,,"Caravan Hurda",Zendikar,5,,,,,,,,,0.20
1,,"Celestial Mantle",Zendikar,6,,,,,,,,,2.67
1,,"Crypt Ripper",Zendikar,85,,,,,,,,,0.20
1,,Demolish,Zendikar,121,,,,,,,,,0.20
1,,"Desecrated Earth",Zendikar,86,,,,,,,,,0.20
3,,Disfigure,Zendikar,87,,,,,,,,,0.25
1,,"Elemental Appeal",Zendikar,123,,,,,,,,,0.40
1,,"Expedition Map",Zendikar,201,,,,,,,,,2.32
1,,"Feast of Blood",Zendikar,88,,,,,,,,,0.56
2,,"Gatekeeper of Malakir",Zendikar,89,,,,,,,,,0.99
2,,"Geyser Glider",Zendikar,124,,,,,,,,,0.25
1,,"Giant Scorpion",Zendikar,90,,,,,,,,,0.20
1,,"Goblin Shortcutter",Zendikar,128,,,,,,,,,0.20
1,,"Grappling Hook",Zendikar,203,,,,,,,,,0.66
1,,"Greenweaver Druid",Zendikar,164,,,,,,,,,0.29
1,,"Grim Discovery",Zendikar,91,,,,,,,,,0.24
1,,"Guul Draz Specter",Zendikar,92,,,,,,,,,0.44
1,,"Hagra Crocodile",Zendikar,94,,,,,,,,,0.20
1,,"Hagra Diabolist",Zendikar,95,,,,,,,,,0.34
2,,"Halo Hunter",Zendikar,96,,,,,,,,,0.44
1,,"Hellfire Mongrel",Zendikar,130,,,,,,,,,0.25
1,,"Highland Berserker",Zendikar,132,,,,,,,,,0.24
1,,"Ior Ruin Expedition",Zendikar,49,,,,,,,,,0.20
1,,"Joraga Bard",Zendikar,166,,,,,,,,,0.23
1,,"Kabira Crossroads",Zendikar,216,,,,,,,,,0.39
1,,"Kalitas, Bloodchief of Ghet",Zendikar,99,,,,,,,,,7.62
2,,"Kazandu Blademaster",Zendikar,16,,,,,,,,,0.44
1,,"Kor Cartographer",Zendikar,18,,,,,,,,,0.31
1,,"Kor Hookmaster",Zendikar,20,,,,,,,,,0.19
2,,"Kor Skyfisher",Zendikar,23,,,,,,,,,0.29
1,,"Lethargy Trap",Zendikar,51,,,,,,,,,0.20
1,,"Living Tsunami",Zendikar,52,,,,,,,,,0.25
2,,"Magma Rift",Zendikar,136,,,,,,,,,0.20
1,,"Marsh Casualties",Zendikar,101,,,,,,,,,0.25
1,,"Mire Blight",Zendikar,104,,,,,,,,,0.20
1,,"Narrow Escape",Zendikar,27,,,,,,,,,0.20
1,,"Needlebite Trap",Zendikar,105,,,,,,,,,0.25
1,,"Noble Vestige",Zendikar,29,,,,,,,,,0.20
2,,"Oran-Rief Survivalist",Zendikar,174,,,,,,,,,0.24
1,,"Paralyzing Grasp",Zendikar,58,,,,,,,,,0.19
1,,"Pillarfield Ox",Zendikar,31,,,,,,,,,0.20
1,,"Plated Geopede",Zendikar,141,,,,,,,,,0.25
1,,"Quest for the Gemblades",Zendikar,177,,,,,,,,,0.25
1,,"Quest for the Gravelord",Zendikar,108,,,,,,,,,0.25
1,,"Ruinous Minotaur",Zendikar,145,,,,,,,,,0.19
1,,"Savage Silhouette",Zendikar,181,,,,,,,,,0.19
1,,"Scythe Tiger",Zendikar,183,,,,,,,,,0.20
2,,"Sea Gate Loremaster",Zendikar,63,,,,,,,,,0.52
1,,"Seascape Aerialist",Zendikar,64,,,,,,,,,0.25
1,,"Shieldmate's Blessing",Zendikar,35,,,,,,,,,0.20
1,,"Slaughter Cry",Zendikar,149,,,,,,,,,0.19
2,,"Spell Pierce",Zendikar,67,,,,,,,,,0.50
1,,"Spire Barrage",Zendikar,150,,,,,,,,,0.19
1,,"Steppe Lynx",Zendikar,36,,,,,,,,,0.24
1,,"Surrakar Marauder",Zendikar,113,,,,,,,,,0.20
1,,"Tajuru Archer",Zendikar,185,,,,,,,,,0.25
2,,Tanglesap,Zendikar,186,,,,,,,,,0.20
4,,"Teetering Peaks",Zendikar,226,,,,,,,,,0.25
1,,"Timbermaw Larva",Zendikar,189,,,,,,,,,0.20
1,,"Torch Slinger",Zendikar,151,,,,,,,,,0.20
1,,"Trusty Machete",Zendikar,209,,,,,,,,,0.29
4,,"Vampire Lacerator",Zendikar,115,,,,,,,,,0.21
1,,"Vampire Nighthawk",Zendikar,116,,,,,,,,,0.50
1,,"Vampire's Bite",Zendikar,117,,,,,,,,,0.25
3,,"Vines of Vastwood",Zendikar,193,,,,,,,,,1.20
1,,"Warren Instigator",Zendikar,154,,,,,,,,,7.99
1,,"Whiplash Trap",Zendikar,77,,,,,,,,,0.21
1,,"Windborne Charge",Zendikar,38,,,,,,,,,0.25
1,,"Zendikar Farguide",Zendikar,194,,,,,,,,,0.20
1,,"Aether Tradewinds",Worldwake,24,,,,,,,,,0.21
2,,"Akoum Battlesinger",Worldwake,71,,,,,,,,,0.25
1,,"Anowon, the Ruin Sage",Worldwake,49,,foil,,,,,,,12.34
1,,"Apex Hawks",Worldwake,2,,,,,,,,,0.23
1,,"Arbor Elf",Worldwake,95,,,,,,,,,0.78
1,,"Archon of Redemption",Worldwake,3,,,,,,,,,0.40
1,,"Battle Hurda",Worldwake,4,,,,,,,,,0.22
1,,"Bestial Menace",Worldwake,97,,,,,,,,,0.25
1,,"Bloodhusk Ritualist",Worldwake,50,,,,,,,,,0.30
1,,"Bojuka Brigand",Worldwake,51,,foil,,,,,,,0.21
1,,"Brink of Disaster",Worldwake,52,,,,,,,,,0.21
1,,"Bull Rush",Worldwake,73,,,,,,,,,0.21
1,,"Butcher of Malakir",Worldwake,53,,,,,,,,,1.49
1,,"Calcite Snapper",Worldwake,25,,,,,,,,,0.24
1,,"Caustic Crawler",Worldwake,54,,,,,,,,,0.26
1,,"Chain Reaction",Worldwake,74,,,,,,,,,1.18
1,,"Corrupted Zendikon",Worldwake,55,,,,,,,,,0.22
5,,"Cosi's Ravager",Worldwake,77,,,,,,,,,0.24
1,,"Crusher Zendikon",Worldwake,78,,,,,,,,,0.20
1,,"Dead Reckoning",Worldwake,56,,,,,,,,,0.22
1,,"Deathforge Shaman",Worldwake,80,,,,,,,,,0.25
1,,"Death's Shadow",Worldwake,57,,,,,,,,,7.99
1,,"Enclave Elite",Worldwake,27,,,,,,,,,0.21
1,,"Feral Contest",Worldwake,100,,,,,,,,,0.20
2,,"Fledgling Griffin",Worldwake,5,,,,,,,,,0.23
1,,"Gnarlid Pack",Worldwake,101,,,,,,,,,0.23
3,,"Goblin Roughrider",Worldwake,82,,,,,,,,,0.20
1,,"Grappler Spider",Worldwake,102,,,,,,,,,0.24
1,,"Graypelt Hunter",Worldwake,103,,,,,,,,,0.21
2,,"Grotag Thrasher",Worldwake,83,,,,,,,,,0.20
2,,Groundswell,Worldwake,104,,,,,,,,,0.71
1,,"Guardian Zendikon",Worldwake,6,,,,,,,,,0.22
1,,"Halimar Excavator",Worldwake,29,,,,,,,,,0.25
1,,"Hedron Rover",Worldwake,125,,,,,,,,,0.20
1,,"Horizon Drake",Worldwake,30,,,,,,,,,0.25
1,,"Iona's Judgment",Worldwake,8,,,,,,,,,0.20
1,,"Jagwasp Swarm",Worldwake,58,,,,,,,,,0.20
1,,Kitesail,Worldwake,126,,,,,,,,,0.21
1,,"Kitesail Apprentice",Worldwake,10,,,,,,,,,0.25
1,,"Kor Firewalker",Worldwake,11,,,,,,,,,0.56
1,,"Lavaclaw Reaches",Worldwake,139,,,,,,,,,1.34
1,,"Lightkeeper of Emeria",Worldwake,12,,,,,,,,,0.30
2,,"Marsh Threader",Worldwake,14,,,,,,,,,0.22
1,,"Mire's Toll",Worldwake,60,,,,,,,,,0.25
2,,"Mordant Dragon",Worldwake,85,,foil,,,,,,,0.51
1,,"Mysteries of the Deep",Worldwake,33,,,,,,,,,0.20
5,,"Nature's Claim",Worldwake,108,,,,,,,,,0.95
1,,"Nemesis Trap",Worldwake,61,,,,,,,,,0.25
1,,"Permafrost Trap",Worldwake,34,,,,,,,,,0.25
2,,"Pilgrim's Eye",Worldwake,128,,,,,,,,,0.23
1,,"Pulse Tracker",Worldwake,62,,,,,,,,,0.30
1,,"Quest for the Goblin Lord",Worldwake,86,,,,,,,,,1.20
1,,Quicksand,Worldwake,140,,,,,,,,,0.25
2,,"Razor Boomerang",Worldwake,129,,,,,,,,,0.25
1,,"Refraction Trap",Worldwake,17,,,,,,,,,0.25
1,,"Rest for the Weary",Worldwake,18,,,,,,,,,0.29
1,,"Ruin Ghost",Worldwake,19,,,,,,,,,0.50
1,,"Ruthless Cullblade",Worldwake,65,,,,,,,,,0.21
1,,"Scrib Nibblers",Worldwake,66,,,,,,,,,0.33
5,,"Searing Blaze",Worldwake,90,,,,,,,,,1.41
2,,"Sejiri Merfolk",Worldwake,36,,,,,,,,,0.25
1,,"Sejiri Steppe",Worldwake,142,,,,,,,,,0.25
1,,"Selective Memory",Worldwake,37,,,,,,,,,2.49
1,,"Shoreline Salvager",Worldwake,67,,,,,,,,,0.25
1,,"Skitter of Lizards",Worldwake,91,,,,,,,,,0.22
1,,"Slingbow Trap",Worldwake,111,,,,,,,,,0.25
2,,"Smoldering Spires",Worldwake,143,,,,,,,,,0.24
2,,"Snapping Creeper",Worldwake,112,,,,,,,,,0.21
1,,"Spell Contortion",Worldwake,38,,,,,,,,,0.25
1,,"Surrakar Banisher",Worldwake,39,,,,,,,,,0.20
1,,Terastodon,Worldwake,115,,,,,,,,,0.74
1,,"Tomb Hex",Worldwake,69,,,,,,,,,0.20
1,,"Treasure Hunt",Worldwake,42,,,,,,,,,0.34
2,,"Tuktuk Scrapper",Worldwake,94,,,,,,,,,0.34
1,,Twitch,Worldwake,43,,,,,,,,,0.23
1,,"Urge to Feed",Worldwake,70,,,,,,,,,0.30
1,,"Vapor Snare",Worldwake,44,,,,,,,,,0.25
1,,"Vastwood Animist",Worldwake,116,,,,,,,,,0.25
1,,"Vastwood Zendikon",Worldwake,117,,,,,,,,,0.22
1,,"Veteran's Reflexes",Worldwake,23,,,,,,,,,0.24
1,,"Voyager Drake",Worldwake,45,,,,,,,,,0.25
1,,"Walking Atlas",Worldwake,131,,,,,,,,,1.60
1,,"Wind Zendikon",Worldwake,46,,,,,,,,,0.24
1,,"Affa Guard Hound","Rise of the Eldrazi",14,,,,,,,,,0.26
2,,"Akoum Boulderfoot","Rise of the Eldrazi",134,,,,,,,,,0.25
